target_id	length	eff_length	est_counts	tpm
Smic1	426	208.3	0	0
Smic2	981	759.728	3	0.309252
Smic3	1044	822.574	0	0
Smic4	10524	10302.6	215	1.63434
Smic5	2184	1962.57	128	5.10779
Smic6	528	307.918	25	6.3585
Smic7	852	630.792	26	3.22802
Smic8	1980	1758.57	35	1.55868
Smic9	513	293.007	3	0.801848
Smic10	3087	2865.57	99	2.70566
Smic11	4134	3912.57	57	1.14094
Smic12	6045	5823.57	148	1.99031
Smic13	2631	2409.57	36	1.17007
Smic14	312	107.377	28	20.4219
Smic15	2481	2259.57	246	8.52624
Smic16	708	487.13	73	11.7362
Smic17	837	615.792	78	9.91996
Smic18	1068	846.574	294	27.1976
Smic19	1980	1758.57	9	0.400803
Smic20	1905	1683.57	0	0
Smic21	996	774.574	0	0
Smic22	1980	1758.57	0	0
Smic23	1821	1599.57	121	5.92421
Smic24	2373	2151.57	126	4.58631
Smic25	1173	951.574	50	4.11506
Smic26	5430	5208.57	84.1106	1.26468
Smic27	11499	11277.6	29	0.201387
Smic28	9642	9420.57	288	2.39422
Smic29	3465	3243.57	163	3.93562
Smic30	5217	4995.57	42	0.658435
Smic31	1281	1059.57	88	6.5043
Smic32	1134	912.574	29	2.48874
Smic33	747	526.079	31	4.61488
Smic34	4509	4287.57	777.172	14.1956
Smic35	663	442.268	18	3.18739
Smic36	3702	3480.57	230.428	5.18482
Smic37	1983	1761.57	38	1.6894
Smic38	648	427.268	26	4.76565
Smic39	1083	861.574	0	0
Smic40	4248	4026.57	65.5234	1.27441
Smic41	8046	7824.57	169	1.69151
Smic42	3612	3390.57	98	2.26361
Smic43	2310	2088.57	121	4.53717
Smic44	345	134.493	3	1.7469
Smic45	5580	5358.57	84	1.22766
Smic46	717	496.13	0	0
Smic47	2067	1845.57	0	0
Smic48	1422	1200.57	87	5.67518
Smic49	1440	1218.57	27	1.73525
Smic50	7827	7605.57	5	0.0514858
Smic51	894	672.728	21	2.44472
Smic52	375	160.912	7	3.4069
Smic53	1182	960.574	0	0
Smic54	750	529.079	29	4.29266
Smic55	2547	2325.57	30	1.01028
Smic56	360	147.716	0	0
Smic57	1452	1230.57	53	3.37301
Smic58	336	127.074	0	0
Smic59	669	448.268	4	0.698829
Smic60	2397	2175.57	33	1.18793
Smic61	1974	1752.57	24	1.07247
Smic62	867	645.728	31	3.75977
Smic63	1680	1458.57	18	0.966481
Smic64	384	169.113	0	0
