target_id	length	eff_length	est_counts	tpm
Smic1	426	212.519	0	0
Smic2	981	765.222	1	0.170373
Smic3	1044	828.145	0	0
Smic4	10524	10308.1	95	1.20152
Smic5	2184	1968.14	91	6.02799
Smic6	528	313.047	16	6.66344
Smic7	852	636.509	14	2.86756
Smic8	1980	1764.14	28	2.06925
Smic9	513	298.108	3	1.31201
Smic10	3087	2871.14	75	3.40561
Smic11	4134	3918.14	51	1.69699
Smic12	6045	5829.14	146	3.2654
Smic13	2631	2415.14	26	1.40352
Smic14	312	107.363	8	9.71453
Smic15	2481	2265.14	165	9.49678
Smic16	708	492.569	47	12.44
Smic17	837	621.509	54	11.3275
Smic18	1068	852.145	112	17.1354
Smic19	1980	1764.14	4	0.295607
Smic20	1905	1689.14	0	0
Smic21	996	780.145	0	0
Smic22	1980	1764.14	0	0
Smic23	1821	1605.14	78	6.33532
Smic24	2373	2157.14	88	5.31853
Smic25	1173	957.145	39	5.31221
Smic26	5430	5214.14	93.2016	2.33039
Smic27	11499	11283.1	19	0.219539
Smic28	9642	9426.14	240	3.31945
Smic29	3465	3249.14	101	4.05267
Smic30	5217	5001.14	36	0.938472
Smic31	1281	1065.14	83	10.1592
Smic32	1134	918.145	20	2.83993
Smic33	747	531.569	14	3.43365
Smic34	4509	4293.14	468.895	14.2393
Smic35	663	447.712	22	6.40637
Smic36	3702	3486.14	102.445	3.8312
Smic37	1983	1767.14	8	0.59021
Smic38	648	432.712	9	2.71164
Smic39	1083	867.145	0	0
Smic40	4248	4032.14	59	1.90767
Smic41	8046	7830.14	110	1.83152
Smic42	3612	3396.14	63	2.41848
Smic43	2310	2094.14	35	2.17896
Smic44	345	136.297	5	4.78269
Smic45	5580	5364.14	76.3931	1.8567
Smic46	717	501.569	0	0
Smic47	2067	1851.14	0	0
Smic48	1422	1206.14	90	9.72818
Smic49	1440	1224.14	37	3.94055
Smic50	7827	7611.14	13	0.22268
Smic51	894	678.509	14	2.69005
Smic52	375	163.825	1	0.795809
Smic53	1182	966.145	0	0
Smic54	750	534.569	21	5.12158
Smic55	2547	2331.14	6	0.33556
Smic56	360	149.957	0	0
Smic57	1452	1236.14	44	4.64057
Smic58	336	128.274	0	0
Smic59	669	453.712	10	2.87348
Smic60	2397	2181.14	48	2.8691
Smic61	1974	1758.14	0	0
Smic62	867	651.509	0	0
Smic63	1680	1464.14	28	2.49323
Smic64	384	172.244	0	0
Smic65	6501	6285.14	0	0
Smic66	867	651.509	0	0
Smic67	528	313.047	2	0.832929
Smic68	645	429.712	27	8.1917
Smic69	696	480.618	9	2.44136
Smic70	2052	1836.14	31	2.20112
Smic71	558	343.014	18	6.84147
Smic72	7701	7485.14	0	0
Smic73	1680	1464.14	0	0
Smic74	1659	1443.14	0	0
Smic75	471	256.442	0	0
Smic76	1341	1125.14	2	0.231745
Smic77	1809	1593.14	0	0
Smic78	408	195.134	7	4.67686
Smic79	5526	5310.14	28.5255	0.70035
Smic80	8853	8637.14	0	0
Smic81	3081	2865.14	0	0
Smic82	2970	2754.14	0	0
Smic83	11577	11361.1	21	0.240983
Smic84	2085	1869.14	10	0.697502
Smic85	687	471.666	9	2.48769
Smic86	2862	2646.14	4	0.197076
Smic87	4305	4089.14	7.58634	0.241874
Smic88	4017	3801.14	4	0.137194
Smic89	2373	2157.14	24	1.45051
Smic90	9591	9375.14	45	0.625782
Smic91	591	375.905	0	0
Smic92	3213	2997.14	52	2.26196
Smic93	3789	3573.14	77	2.8095
Smic94	3246	3030.14	103	4.43162
Smic95	801	585.569	129	28.721
Smic96	3297	3081.14	45	1.9041
Smic97	2724	2508.14	42	2.18316
Smic98	237	51.5253	1	2.53027
Smic99	8709	8493.14	136	2.08766
Smic100	1356	1140.14	23	2.63
Smic101	4716	4500.14	42.2611	1.22434
Smic102	5841	5625.14	2	0.0463537
Smic103	750	534.569	1	0.243885
Smic104	207	33.485	33	128.485
Smic105	1641	1425.14	89	8.14178
Smic106	450	235.912	0	0
Smic107	1383	1167.14	6	0.670216
Smic108	1815	1599.14	70.1647	5.72031
Smic109	1257	1041.14	107	13.3987
Smic110	960	744.222	89	15.5911
Smic111	432	218.303	4	2.38885
Smic112	1224	1008.14	0	0
Smic113	1011	795.145	1	0.163962
Smic114	981	765.222	0	0
Smic115	1725	1509.14	52	4.49222
Smic116	1752	1536.14	81	6.8745
Smic117	1485	1269.14	26	2.67086
Smic118	261	67.739	1	1.92464
Smic119	10275	10059.1	25	0.324017
Smic120	1596	1380.14	88	8.31278
Smic121	8121	7905.14	0	0
Smic122	5316	5100.14	0	0
Smic123	3126	2910.14	15	0.671994
Smic124	336	128.274	19	19.311
Smic125	489	274.309	1	0.47528
Smic126	240	53.4468	12	29.2717
Smic127	288	87.9609	57	84.4838
Smic128	1158	942.145	0	0
Smic129	12531	12315.1	277.863	2.94158
Smic130	9963	9747.14	7	0.0936287
Smic131	15693	15477.1	250	2.1059
Smic132	4320	4104.14	118	3.74842
Smic133	651	435.712	0	0
Smic134	1536	1320.14	0	0
Smic135	8673	8457.14	127	1.9578
Smic136	4059	3843.14	118	4.00298
Smic137	1191	975.145	90	12.0327
Smic138	1473	1257.14	87.4239	9.06637
Smic139	1593	1377.14	22	2.08272
Smic140	318	112.394	0	0
Smic141	972	756.222	24	4.13762
Smic142	9054	8838.14	0	0
Smic143	720	504.569	1	0.258385
Smic144	2163	1947.14	30	2.00868
Smic145	3831	3615.14	29	1.04583
Smic146	300	97.4555	1	1.33777
Smic147	1923	1707.14	10	0.763692
Smic148	2754	2538.14	253	12.9955
Smic149	855	639.509	25	5.09662
Smic150	726	510.569	10	2.55349
Smic151	1697	1481.14	0	0
Smic152	2064	1848.14	0	0
Smic153	1056	840.145	0	0
Smic154	1716	1500.14	62	5.38824
Smic155	726	510.569	5	1.27674
Smic156	897	681.509	9	1.72171
Smic157	981	765.222	55	9.37052
Smic158	615	399.712	1	0.326168
Smic159	2568	2352.14	49	2.71594
Smic160	789	573.569	19	4.31873
Smic161	1929	1713.14	16	1.21763
Smic162	618	402.712	6	1.94243
Smic163	1587	1371.14	0	0
Smic164	222	42.3326	3	9.2392
Smic165	939	723.368	6	1.08139
Smic166	8343	8127.14	0	0
Smic167	1125	909.145	48	6.8833
Smic168	282	83.3415	0	0
Smic169	942	726.368	0	0
Smic170	1062	846.145	28	4.31421
Smic171	1632	1416.14	48	4.41898
Smic172	1038	822.145	32	5.07446
Smic173	819	603.569	4	0.864015
Smic174	318	112.394	0	0
Smic175	1710	1494.14	17	1.48335
Smic176	3033	2817.14	22	1.01813
Smic177	5637	5421.14	45.9126	1.10415
Smic178	2661	2445.14	47	2.506
Smic179	8001	7785.14	7	0.117225
Smic180	4557	4341.14	119	3.57381
Smic181	459	244.792	9	4.79329
Smic182	1824	1608.14	42	3.40496
Smic183	2445	2229.14	13	0.760315
Smic184	300	97.4555	0	0
Smic185	1722	1506.14	17.0677	1.4774
Smic186	849	633.509	17	3.49852
Smic187	1209	993.145	10	1.31273
Smic188	357	147.185	6	5.31467
Smic189	2271	2055.14	43	2.72781
Smic190	1224	1008.14	68	8.79376
Smic191	3345	3129.14	104.332	4.34691
Smic192	11589	11373.1	224.597	2.57461
Smic193	1356	1140.14	17	1.94392
Smic194	570	354.979	2	0.734541
Smic195	597	381.868	161	54.9669
Smic196	1416	1200.14	15	1.62947
Smic197	459	244.792	5	2.66294
Smic198	2025	1809.14	95.2822	6.86637
Smic199	723	507.569	16	4.10973
Smic200	3342	3126.14	57	2.37714
Smic201	1392	1176.14	5	0.55424
Smic202	4128	3912.14	0	0
Smic203	702	486.569	402.965	107.972
Smic204	4152	3936.14	303	10.036
Smic205	567	351.979	0	0
Smic206	1419	1203.14	0	0
Smic207	1497	1281.14	51	5.18992
Smic208	2016	1800.14	20	1.44847
Smic209	483	268.363	32	15.5459
Smic210	5061	4845.14	91	2.44863
Smic211	4062	3846.14	437	14.813
Smic212	6291	6075.14	264	5.66547
Smic213	525	310.047	3	1.26148
Smic214	273	76.396	12	20.4785
Smic215	1125	909.145	105	15.0572
Smic216	513	298.108	4	1.74934
Smic217	1197	981.145	62	8.23848
Smic218	822	606.509	18	3.86922
Smic219	402	189.367	0	0
Smic220	621	405.712	20	6.42688
Smic221	981	765.222	8	1.36298
Smic222	10011	9795.14	50	0.665499
Smic223	3162	2946.14	3	0.132756
Smic224	2043	1827.14	73.6992	5.2587
Smic225	423	209.625	28	17.4142
Smic226	3342	3126.14	191	7.96549
Smic227	3414	3198.14	113	4.60648
Smic228	1110	894.145	9	1.31227
Smic229	1653	1437.14	32	2.90294
Smic230	813	597.569	8	1.74538
Smic231	1779	1563.14	3	0.250213
Smic232	1257	1041.14	0	0
Smic233	603	387.791	0	0
Smic234	1587	1371.14	10	0.950835
Smic235	2103	1887.14	42	2.90157
Smic236	1257	1041.14	17	2.12876
Smic237	1791	1575.14	32	2.64861
Smic238	1830	1614.14	8	0.646154
