target_id	length	eff_length	est_counts	tpm
Smic1	426	223.254	0	0
Smic2	981	774.602	5	0.41694
Smic3	1044	837.602	0	0
Smic4	10524	10317.6	305	1.90943
Smic5	2184	1977.6	160.907	5.25555
Smic6	528	323.434	40	7.98836
Smic7	852	646.026	44	4.39932
Smic8	1980	1773.6	87	3.16844
Smic9	513	308.623	12	2.51152
Smic10	3087	2880.6	239	5.35917
Smic11	4134	3927.6	92	1.51301
Smic12	6045	5838.6	334	3.69505
Smic13	2631	2424.6	57	1.51851
Smic14	312	118.151	22	12.0272
Smic15	2481	2274.6	424	12.0405
Smic16	708	502.37	109	14.0148
Smic17	837	631.154	144	14.737
Smic18	1068	861.602	254	19.0419
Smic19	1980	1773.6	7	0.254932
Smic20	1905	1698.6	0	0
Smic21	996	789.602	0	0
Smic22	1980	1773.6	0	0
Smic23	1821	1614.6	171	6.8409
Smic24	2373	2166.6	209	6.23089
Smic25	1173	966.602	116	7.75163
Smic26	5430	5223.6	179.968	2.2254
Smic27	11499	11292.6	71	0.406113
Smic28	9642	9435.6	500	3.42281
Smic29	3465	3258.6	205	4.06355
Smic30	5217	5010.6	52	0.670342
Smic31	1281	1074.6	176	10.5791
Smic32	1134	927.602	73	5.08328
Smic33	747	541.267	34	4.05742
Smic34	4509	4302.6	745.703	11.1948
Smic35	663	457.756	28	3.951
Smic36	3702	3495.6	177.632	3.28233
Smic37	1983	1776.6	29	1.05436
Smic38	648	442.801	18	2.62571
Smic39	1083	876.602	0	0
Smic40	4248	4041.6	120	1.91783
Smic41	8046	7839.6	241	1.98566
Smic42	3612	3405.6	125	2.37082
Smic43	2310	2103.6	120	3.68469
Smic44	345	146.936	0	0
Smic45	5580	5373.6	172.716	2.0761
Smic46	717	511.319	0	0
Smic47	2067	1860.6	0	0
Smic48	1422	1215.6	208	11.0523
Smic49	1440	1233.6	70	3.66527
Smic50	7827	7620.6	6	0.0508563
Smic51	894	687.893	39	3.66207
Smic52	375	174.595	0	0
Smic53	1182	975.602	0	0
Smic54	750	544.213	64	7.59615
Smic55	2547	2340.6	7	0.193176
Smic56	360	160.761	0	0
Smic57	1452	1245.6	80	4.14852
Smic58	336	138.961	0	0
Smic59	669	463.756	5	0.696408
Smic60	2397	2190.6	141	4.15756
Smic61	1974	1767.6	0	0
Smic62	867	660.96	0	0
Smic63	1680	1473.6	38	1.66566
Smic64	384	183.141	0	0
Smic65	6501	6294.6	0	0
Smic66	867	660.96	0	0
Smic67	528	323.434	0	0
Smic68	645	439.801	28	4.1123
Smic69	696	490.468	14	1.84374
Smic70	2052	1845.6	47	1.64491
Smic71	558	353.198	24	4.38911
Smic72	7701	7494.6	0	0
Smic73	1680	1473.6	0	0
Smic74	1659	1452.6	0	0
Smic75	471	267.222	0	0
Smic76	1341	1134.6	4	0.227719
Smic77	1809	1602.6	0	0
Smic78	408	206.2	12	3.75902
Smic79	5526	5319.6	61.0541	0.741341
Smic80	8853	8646.6	0	0
Smic81	3081	2874.6	0	0
Smic82	2970	2763.6	0	0
Smic83	11577	11370.6	37	0.210185
Smic84	2085	1878.6	43	1.47848
Smic85	687	481.614	17	2.27999
Smic86	2862	2655.6	3	0.0729694
Smic87	4305	4098.6	33.3723	0.525937
Smic88	4017	3810.6	24	0.406818
Smic89	2373	2166.6	17.0316	0.507759
Smic90	9591	9384.6	119	0.819056
Smic91	591	386.011	0	0
Smic92	3213	3006.6	111	2.38468
Smic93	3789	3582.6	135	2.43399
Smic94	3246	3039.6	153	3.2513
Smic95	801	595.154	568	61.6456
Smic96	3297	3090.6	143	2.98865
Smic97	2724	2517.6	31	0.795348
Smic98	237	57.8801	0	0
Smic99	8709	8502.6	397	3.01593
Smic100	1356	1149.6	54	3.03409
Smic101	4716	4509.6	119.717	1.71475
Smic102	5841	5634.6	22	0.252198
Smic103	750	544.213	1	0.11869
Smic104	207	37.6604	53	90.902
Smic105	1641	1434.6	348	15.6686
Smic106	450	246.711	0	0
Smic107	1383	1176.6	15	0.823463
Smic108	1815	1608.6	95.149	3.82066
Smic109	1257	1050.6	257	15.8007
Smic110	960	753.602	211	18.0852
Smic111	432	229.094	15	4.22921
Smic112	1224	1017.6	0	0
Smic113	1011	804.602	9	0.72251
Smic114	981	774.602	0	0
Smic115	1725	1518.6	90	3.82808
Smic116	1752	1545.6	124	5.18211
Smic117	1485	1278.6	65	3.28368
Smic118	261	75.6069	1	0.854321
